id,功能模块名称,功能模块描述
D5-F10-4,转速控制,MCU执行来自VDC的目标转速命令控制电机转速
D5-F10-5,CAN通信,通过高速CAN总线和其他节点进行数据交换
D5-F10-6,信号检测,MCU支持电机控制信号及状态信号的检测，主要包括直流电压、三相电流、直流电流检测；电机控制器温度和SIC节温检测；电机转子转速角度检测；电机定子温度和转子温度检测等
D5-F10-7,故障保护和处理,MCU支持根据定义的故障列表及功能安全目标进行分级故障保护和处理
D5-F10-8,故障及快照锁存,MCU支持快照存储电机系统故障、状态及运行参数信息
D5-F10-9,主动放电,整车下电或发生触发安全气囊的碰撞，切断直流母线端电源后，MCU主动启动放电，通过电机绕组释放母线电容能量，保证高压安全
D5-F10-10,被动放电,整车下电或发生触发安全气囊的碰撞，切断直流母线端电源后，通过被动放电电阻释放母线电容能量，保证高压安全
D5-F10-11,诊断服务,MCU支持UDS诊断服务，可通过诊断仪读取故障、Bootloader程序刷写、标定参数、查看运行状态等
D5-F10-12,电机零位角自学习,自动识别电机旋变零位偏移量（异步电机不要求）
D5-F10-13,OTA,MCU软件支持OTA更新升级，支持重刷、回滚、双分区、高压刷写。
D5-F10-14,ASC及SPO,"ASC(Active short circuit)主动短路，MCU控制功率器件三相上桥臂或下桥臂同时导通，将三相绕组短路，避免电机反电势危害
SPO(Safety pulse off)安全关断，MCU将所有功率器件关管"
D5-F10-18,DAMPING,主动阻尼，整车自适应防抖控制功能，抑制整车半轴等传动系统机械共振引起的整车抖动
D5-F11-1,扭矩控制,ECU执行来自VDC的目标扭矩命令控制发动机转矩
D5-F11-2,转速控制,ECU支持发动机怠速转速控制，且各运行工况下能够平稳输出转速，
D5-F11-3,起动控制,ECU执行来自VDC的启动指令，控制发动机常温起动、暖机起动，热机起动
D5-F11-4,燃烧控制,ECU支持发动机燃烧控制，包括空燃比闭环控制、混合气控制、二充控制、动力加浓控制、排气温度控制、炭罐脱附控制、高压油箱控制等
D5-F11-5,CAN通信,通过CAN总线和其他节点进行数据交换
D5-F11-6,EGR控制,"ECU支持EGR废气再循环控制
2、EGR开启后发动机扭矩波动在±5NM以内。"
D5-F11-7,VVT控制,ECU支持VVT可变气门正时系统控制
D5-F11-8,早燃检测,ECU能正确检测超级爆震，避免长时间出现超级爆震，并在出现超级爆震时可以执行相应的保护措施（断油或限扭）来保护发动机
D5-F11-9,爆震检测,ECU能正确检测爆震，能够合理地退点火角避免爆震
D5-F11-10,故障保护和处理,ECU支持发动机故障保护和处理
D5-F11-11,故障及快照锁存,ECU支持快照存储发动机系统故障、状态及运行参数信息
D5-F11-12,瞬时油耗计算,ECU支持理论计算输出油耗
D5-F11-13,诊断服务,MCU支持UDS诊断服务，可通过诊断仪读取故障、程序刷写、标定参数、查看运行状态等
D5-F11-14,OTA,MCU软件支持OTA更新升级，支持重刷、回滚、双分区、高压刷写。
D5-F12-1,休眠唤醒,GCU支持通过唤醒硬线和CAN线实现唤醒及休眠，满足网络管理功能要求
D5-F12-2,状态机跳转,GCU根据状态跳转条件跳转切换不同的工作模式
D5-F12-3,扭矩控制,GCU执行来自VDC的目标扭矩命令控制电机转矩
D5-F12-4,转速控制,GCU执行来自VDC的目标转速命令控制电机转速
D5-F12-5,CAN通信,通过高速CAN总线和其他节点进行数据交换
D5-F12-6,信号检测,GCU支持电机控制信号及状态信号的检测，主要包括直流电压、三相电流、直流电流检测；电机控制器温度和SIC节温检测；电机转子转速角度检测；电机定子温度和转子温度检测等
D5-F12-7,故障保护和处理,GCU支持根据定义的故障列表及功能安全目标进行分级故障保护和处理
D5-F12-8,故障及快照锁存,GCU支持快照存储电机系统故障、状态及运行参数信息
D5-F12-9,主动放电,整车下电或发生触发安全气囊的碰撞，切断直流母线端电源后，MCU主动启动放电，通过电机绕组释放母线电容能量，保证高压安全
D5-F12-10,被动放电,整车下电或发生触发安全气囊的碰撞，切断直流母线端电源后，通过被动放电电阻释放母线电容能量，保证高压安全
D5-F12-11,诊断服务,GCU支持UDS诊断服务，可通过诊断仪读取故障、Bootloader程序刷写、标定参数、查看运行状态等
D5-F12-12,程序刷写,MCU支持Bootloader程序刷写
D5-F12-13,OTA,GCU软件支持OTA更新升级，支持重刷、回滚、双分区、高压刷写。
D5-F12-14,ASC及SPO,"ASC(Active short circuit)主动短路，MCU控制功率器件三相上桥臂或下桥臂同时导通，将三相绕组短路，避免电机反电势危害
SPO(Safety pulse off)安全关断，MCU将所有功率器件关管"
D5-F12-15,DAMPING,主动阻尼，自适应防抖控制功能，抑制发动机曲轴等传动系统机械共振引起的抖动
D6-F1-1,哨兵模式功能开启关闭控制,用户设置并打开哨兵模式，灵敏度设置，包含隐私声明等
D6-F1-1-1,语音开启关闭,HMI支持语音“哨兵”或“哨兵模式”引导进入哨兵模式的界面，语音开启哨兵模式后，需要将中控界面跳转到哨兵模式开启界面
D6-F1-1-2,预约单次开启,通过预约方式在指定时间段开启哨兵模式，预约开启哨兵模式时。支持手机APP及大屏预约
D6-F1-1-3,手机APP开启,TBOX需要进行远程唤醒等动作，执行远程开启哨兵模式的功能，用户在APP端设置并打开哨兵模式，灵敏度设置，包含隐私声明等
D6-F1-2,哨兵模式检测功能,基于摄像头、USS、INS等传感器信息，识别不同等级的告警
D6-F1-2-1,检测因外力产生的振动,通过振动检测传感器，车辆具备对外力产生的振动进行检测的能力，并作为哨兵模式告警功能的激活输入
D6-F1-2-2,检测车辆异常人车,停车后，车辆保持一定的传感器监控状态，识别车外异常情况，包括外部物体靠近、车辆刮擦或碰撞、异常开门等
D6-F1-2-3,检测车辆位置大幅度偏移,车辆具备对因拖车或特殊自然灾害如地震，飓风，暴雨，洪水等引起车辆大幅度偏移时的检测能力，作为哨兵模式告警功能的激活输入
D6-F1-2-4,监听车辆防盗系统报警,通过对车辆防盗报警系统的检测，来激活哨兵模式报警
D6-F1-3,哨兵模式响应,哨兵模式开启状态下，当检测到异常外物时进行相关响应
D6-F1-3-1,发起车端告警,中控大屏进行告警，同时车端进行闪灯、氛围灯（DVR发指令到DTE，DVR起来之后需要通知MDC），手机APP上推送PUSH消息
D6-F1-3-2,手机APP告警,用户在APP上收到哨兵模式告警
D6-F1-3-3,告警视频存储,ADS检测到有异常告警时，将异常告警发生前后共5分钟的视频存盘
D6-F1-4,日志打点及异常上报,基于VHR进行日志打点和异常上报
D6-F1-5,工作时长统计,统计哨兵模式累计使用时长
D6-F1-6,告警视频本地查看,车主使用车企提供的管理功能，可在APP内回看哨兵模式告警视频，并支持删除本地视频
D6-F2-1,常规洗车,将自动关闭所有车窗、锁定充电口盖、关闭自动雨刮、关闭远离闭锁、关闭空调外循环及自动循环等，并提供折叠/展开后视镜的操作菜单。若车速超过20km/h，将自动退出常规洗车
D6-F2-1-1,开启常规洗车,用户可以通过中控屏设置菜单、中控屏控制中心、语音助手等方式触发进入洗车模式，然后二次弹框让用户选择“常规洗车”（默认）还是“传送带洗车”，并介绍各自功能。若用户选择“常规洗车”或不选择，则点击“开始洗车”后，进入常规洗车。
D6-F2-1-2,关闭洗车相关部件,进入常规洗车时，将自动关闭所有车窗、锁定充电口盖、关闭自动雨刮、关闭远离闭锁、关闭空调外循环及自动循环等。
D6-F2-1-3,洗车相关部件状态上报,进入洗车模式后，界面实时显示上述洗车相关部件的状态，若符合洗车场景，则显示绿●，否则显示红×，以便用户及时了解当前车辆是否符合洗车。
D6-F2-1-4,折叠/展开后视镜,常规洗车界面提供后视镜控制菜单，用户点击后，可折叠后视镜或展开后视镜适用于非传送带自动洗车场景，避免洗车机沿着轨道滚过来撞到后视镜。
D6-F2-1-5,退出常规洗车,用户可以通过点击退出菜单、语音助手、车速超过阈值等方式退出常规洗车。
D6-F2-1-6,恢复洗车相关部件,退出常规洗车时，将自动恢复自动雨刮、远离闭锁、后视镜、充电口盖等状态。
D6-F2-2,传送带洗车,传送带洗车：将自动关闭所有车窗、锁定充电口盖、关闭自动雨刮、关闭远离闭锁、关闭空调外循环及自动循环、折叠后视镜等，并自动切换到N档，且在离车后也仍然保持在N档，以防止离车时自动实施驻车制动。若车速超过10km/h，将自动退出传送带洗车。
D6-F2-2-1,开启传送带洗车,用户可以通过中控屏设置菜单、中控屏控制中心、语音助手等方式触发进入洗车模式，然后二次弹框让用户选择“常规洗车”（默认）还是“传送带洗车”，并介绍各自功能。若用户选择“传送带洗车”，则点击“开始洗车”后，进入传送带洗车。
D6-F2-2-2,关闭洗车相关部件,进入传送带洗车时，将自动关闭所有车窗、锁定充电口盖、关闭自动雨刮、关闭远离闭锁、关闭空调外循环及自动循环、折叠后视镜等，并自动切换到N档。
D6-F2-2-3,洗车相关部件状态上报,进入洗车模式后，界面实时显示上述洗车相关部件的状态，若符合洗车场景，则显示绿●，否则显示红×，以便用户及时了解当前车辆是否符合洗车。
D6-F2-2-4,退出传送带洗车,用户可以通过 点击退出菜单、语音助手、车速超过阈值等方式退出传送带洗车。
D6-F2-2-5,恢复洗车相关部件,退出传送带洗车时，将自动恢复自动雨刮、远离闭锁、后视镜、充电口盖等状态。
D6-F3-1,维修模式,实现禁用远控、禁用车主提醒、禁用VHR告警并开放车内诊断仪等高权限功能。维修期间保护维修人员安全和避免打扰客户。
D6-F3-2,断高压开关,维修模式需要有断高压开发，在需要是仅仅切断车辆高压电源
D6-F3-3,悬架维修开关,在维修模式中需要提供悬架维修开关，开启时禁止空悬高度调节
D6-F3-4,遮阳帘学习,在维修模式中需要提供遮阳帘自学习开关，用于遮阳帘自学习，点击按钮后需要有二次弹框给用户确认
D6-F4-1,CDC拖车模式UX,提供拖车按键，说明只允许4轮拖车，禁用两轮拖车，弹出拖车模式免责声明
D6-F4-2,EPB拖车模式,接收拖车模式信号，松开卡钳
D6-F4-3,IPB拖车模式,接收拖车模式信号，IPB关闭驾驶员离车驻车功能，静态驻车功能和AVH功能
D6-F5-1,模式进入、退出,通过特定方式（包括诊断指令）触发进入和退出展车模式
D6-F5-2,功能模式限制,展车模式部分功能模式禁用限制，例如禁止空悬调节、禁止调制冷等、限制交流充电电流和SOC充电上限等
D6-F5-3,亮点功能展示,展车模式下亮点功能展示，例如车机大屏上体验App、销售助手等
D6-F7-1,立即备车组合功能设置,NA
D6-F7-1-1,远程空调,立刻备车可以远程控制空调，app界面可选，急速升温/急速降温可选
D6-F7-1-2,远程座椅加热,立刻备车可以远程控制座椅加热，app界面可选
D6-F7-1-3,远程座椅通风,立刻备车可以远程控制座椅通风，app界面可选
D6-F7-1-4,空气净化,立刻备车可以远程空气净化，app界面可选
D6-F7-1-5,方向盘加热,立刻备车可以远程方向盘，app界面可选
D6-F7-1-6,冷暖箱,立刻备车可以远程冷暖箱，若未选配冷暖箱则不显示该功能
D6-F7-1-7,外后视镜加热,立刻备车可以远程进行外后视镜加热，app界面可选
D6-F7-2,预约备车组合功能设置,NA
D6-F7-2-1,远程空调,预约备车可以远程控制空调，app界面可选，急速升温/急速降温可选
D6-F7-2-2,远程座椅加热,预约备车可以远程控制座椅加热，app界面可选
D6-F7-2-3,远程座椅通风,预约备车可以远程控制座椅通风，app界面可选
D6-F7-2-4,空气净化,预约备车可以远程空气净化，app界面可选
D6-F7-2-5,前除霜,预约备车可以远程前除霜，app界面可选
D6-F7-2-6,方向盘加热,预约备车可以远程方向盘，app界面可选
D6-F7-2-7,冷暖箱,预约备车可以远程冷暖箱，若未选配冷暖箱则不显示该功能
D6-F7-2-8,备车电池加热,预约备车可以远程电池加热，app界面可选
D6-F7-2-10,外后视镜加热,立刻备车可以远程进行外后视镜加热，app界面可选
D6-F8-1,超级省电开启提醒,在满足超级省电开启条件时，通过语音、弹窗等方式，提醒用户开启省电模式
D6-F8-2,超级省电开启,在满足超级省电模式开启条件时，用户可通过语音、中控开关等方式，主动开启超级省电模式，并在用户确认开启是，进行适当的功能及续航收益提示
D6-F8-3,高压部件节能,在用户开启超级省电模式后，通过限速、动力降级、回收增强以及限制热管理高压功率等措施，降低整车用电功耗，提升续航里程
D6-F8-4,低压部件节能,在用户开启超级省电模式后，通过关闭舒适性负载、调整底盘策略等措施，降低整车用电功耗，提升续航里程
D6-F8-5,续航修正,在用户开启或关闭省电模式时，进行续航里程修正
D6-F8-6,超级省电退出,在用户主动关闭或者超级省电模式强制退出条件满足时，退出超级省电模式
D6-F9-1,车外迎宾,基于SLE钥匙的精准定位能力，控制外灯进行迎宾灯效播放。基于用户账号ID属性，呈现不同用户配置下的迎宾灯效。
D6-F9-2,解锁迎宾,基于BLE和SLE的定位差异化能力，对外灯进行差异化呈现。除了外灯控制，还包括后视镜折叠展开，门把手弹出，解闭锁声音控制等
D6-F9-3,上车迎宾,NA
D6-F9-4,离车欢送,基于BLE和SLE的离车无感闭锁能力，执行离车欢送控制，包括闭锁声音，后视镜折叠，门把手收回，大灯呼吸等
D6-F9-5,迎宾管理,座舱大屏增加迎宾控制开关和灯效选项，作为迎宾灯效执行输入。根据BLE和UWB定位能力和用户意图判断，增加乒乓抑制等策略
D6-F11-1,续航荷包蛋图,依据电量续航沿路网绘制续航范围；
D6-F11-2,充电桩搜索和推荐排序,提供充电桩地图，支持用户一键搜索附近或沿途充电桩，并显示预估的剩余里程；
D6-F11-3,低电量智能提醒,当触发低电量时，分级智能提醒并一站式充电桩推荐导航；
D6-F11-4,目的地里程预估,使用导航路线规划时，提前预估出到达目的地/途经点时车辆剩余续驶电量或里程
D6-F11-5,车主APP到站提醒,导航到达合作充电站，联动车主App，提示用户通过车主 App 进行扫码充电服务；
D6-F14-1,开始小憩,"车辆P挡、且满足电量SOC条件与整车电源模式时开启驻车小憩；车辆非P档开启行车小憩：
1、通过屏幕点按进入小憩模式
2、通过语音指令进入小憩模式"
D6-F14-2,弹窗提醒与确认,首次进入小憩模式，系统通过界面免责声明弹窗提示用户座椅移动；用户在屏幕的免责声明弹窗提示信息中点按“继续”后，系统进行语音播报，播报完成后小憩模式的自动调节功能（含座椅）方可执行。
D6-F14-3,小憩时间设置,"在小憩模式设置功能中，设置小憩模式的持续时长；
设置“再睡一会儿”功能的持续时长（步径为1分钟）"
D6-F14-4,座椅位置设置,支持小憩模式下的座椅位置设置
D6-F14-4-1,前排小憩模式座椅位置设置,"A、座椅各部件位置有默认值；
B、通过座椅物理按键调节座椅；
C、保存调节设置，下次启用时自动调整至用户保存的位置。"
D6-F14-4-2,后排小憩模式座椅位置设置,副驾座椅判断与执行逻辑：通过座椅传感器判断副驾是否有人，如果无人，则前排座椅向前折叠；如果有人，副驾座椅不动，右后零重力座椅半展开
D6-F14-5,座椅位置控制,"1、开始小憩模式时：座椅调整到记忆的角度；
2、结束小憩模式时：座椅恢复到进入小憩模式之前的位置"""
D6-F14-6,遮阳帘控制,"1、开始小憩：遮阳帘关闭；
2、结束小憩：遮阳帘不恢复。"""
D6-F14-7,空调控制,"1、首次进入（没有空调记忆值时），打开AUTO+不修改温度。
2、用户在小憩期间调整空调设置，所有分区分别记忆空调的设置，包括AUTO、风量、温度以及是否开启空调。
3、后续进入小憩模式时（无论前后排进入小憩），所有分区的空调使用上次记忆的AUTO、风量、温度以及是否开启空调。
4、退出小憩模式时，恢复到小憩之前的空调设置，包括AUTO、风量、温度以及是否开启空调。"""
D6-F14-8,车窗控制,"1、开始小憩：
自动关闭全车车窗；
2、结束小憩：
不对车窗进行复位控制。"""
D6-F14-9,灯光控制,"1、开始小憩：
驻车小憩和行车小憩时，车外示宽灯、近光灯、远光灯、车内阅读灯、氛围灯同步关闭；
行车小憩时，车内阅读灯、氛围灯同步关闭；
2、结束小憩：
车外示宽灯、近光灯、远光灯、氛围灯恢复；车内阅读灯不恢复。"""
D6-F14-10,门锁控制,"1、开始小憩：
四个车门、前、后备箱上锁；
2、结束小憩：
四个车门、前、后备箱锁不复位。"""
D6-F14-11,屏幕控制,"1、进入小憩：屏幕变暗后小憩休憩界面进入熄屏模式；
2、支持用户点按屏幕，恢复正常显示；并且重新计时，可返回到熄屏模式中；
3、结束小憩：屏幕亮度、显示内容恢复。"""
D6-F14-12,再睡一会儿,"1、小憩的休憩模式倒计时结束后，通过闹铃声音叫醒；
2、叫醒时，用户可以通过屏幕、语音再睡一会儿。"""
D6-F14-13,结束小憩,"1、用户可以通过屏幕结束小憩；
2、用户可以通过语音指令结束小憩"""
D6-F14-14,多位置同时小憩,"1、若当前已有座椅处于小憩模式中，想要新加入/退出小憩的用户可以在座椅界面中勾选/取消勾选对应的座椅，实时生效。
2、若当前座椅由于空间互斥原则无法开启，则提示因为空间互斥无法调整当前座椅。"""
D6-F14-15,异常冲突事件流,"1、小憩模式中，用户若操作切换/退出车机账号，则会退出小憩模式。
2、驻车小憩时，动力电池 SOC 满足一定条件（条件参见功能规范）退出小憩；
3、电源模式跳转后退出"""
D6-F14-16,驻车小憩切行车小憩,"驻车状态下小憩换挡为非P档，会触发切换进入行车小憩模式；
1、 若此时前排处于小憩状态，则恢复前排座椅；
2、自动雨刮，仪表屏，中控屏，车外灯光解除禁用状态；
3、 声音切换进入主驾头枕专注模式，并播报行车小憩安全提示。"
D6-F21-1,离车不下电开关,设置和控制中心中新增离车不下电开关，用户点击后二次确认后可开启功能。
D6-F21-2,离车不下电开启,用户开启离车不下电后，车辆保持状态不变，当用户锁车离车时，车辆正常闭锁，但不进行下电，维持当前状态不变，用户可自行设置。
D6-F21-3,离车不下电关闭,离车不下电功能关闭后，恢复15分钟无人下电和闭锁下电功能，若车辆当前已经处于外部闭锁状态，则车辆进行下电
D6-F21-4,离车不下电异常退出,当电量低于阈值或用户主动切出p档，或高压不在时，离车不下电功能自动退出。
D6-F22-1,无钥匙控制,支持物理钥匙、手机、手表等解闭锁和启动控制
D6-F22-1-1,无感解闭锁,物理钥匙、手机、手表无感解闭锁
D6-F22-1-2,智能迎宾功能,物理钥匙、手机、手表智能迎宾
D6-F22-1-4,无钥匙启动,物理钥匙、手机、手表无钥匙启动
D6-F22-2,智能钥匙管理,华为手机、三方安卓、IOS手机、华为手表数字钥匙管理
D6-F22-2-1,数字钥匙申请,华为手机、三方安卓、IOS手机、华为手表数字钥匙申请
D6-F22-2-2,数字钥匙分享,华为手机、三方安卓、IOS手机钥匙分享
D6-F22-2-3,数字钥匙注销,华为手机、三方安卓、IOS手机、华为手表数字钥匙注销，车端钥匙注销
D6-F22-2-4,数字钥匙查看,华为手机、三方安卓、IOS手机、华为手表数字钥匙查看
D6-F22-2-5,车端eSE升级,车端eSE applet升级、车端eSE秘钥更新
D6-F22-2-6,售后系统配置钥匙,售后系统支持NFC卡片、物理钥匙配置，座舱支持用户绑定物理钥匙
D6-F22-3,智能钥匙使用,华为手机、华为手表、三方安卓手机NFC、蓝牙等实现解闭锁、车辆防盗控制
D6-F22-3-1,NFC钥匙解闭锁,华为手机、华为手表、三方安卓手机NFC解闭锁
D6-F22-3-2,NFC钥匙启动车辆,华为手机、华为手表、三方安卓手机NFC启动车辆
D6-F22-3-3,蓝牙车控解闭锁,华为手机、华为手表、三方安卓手机、IOS手机、物理钥匙车控解闭锁
D6-F22-3-4,蓝牙车控开关尾门,华为手机、华为手表、三方安卓手机、IOS手机、物理钥匙车控开关尾门
D6-F22-3-5,蓝牙车控开启前舱盖,华为手机、华为手表、三方安卓手机、IOS手机、物理钥匙车控开启前舱盖
D6-F22-3-6,蓝牙车控寻车,华为手机、华为手表、三方安卓手机、IOS手机、物理钥匙车控寻车
D6-F22-3-7,蓝牙车控开关车窗,华为手机、华为手表、三方安卓手机、IOS手机车控开关车窗
D6-F22-3-8,蓝牙车控开启充电口盖,华为手机、三方安卓手机、IOS手机车控开启充电口盖
D6-F22-3-9,蓝牙车控一键启动,在搜索到有效蓝牙连接的范围内，用户可以通过华为手机、三方安卓手机、IOS手机车控一键启动车辆（用户APP上 点击一键启动按钮，允许2min内启动车辆，此时踩刹车查询钥匙一定会得到一个钥匙有效的结果。（只与蓝牙ECU及APP相关））
D6-F22-3-10,蓝牙车控泊车,"华为手机、三方安卓手机、IOS手机、物理钥匙支持通过蓝牙进行遥控泊车操作
1、APP与BLE节点之间进行临时的加解密操作（保障指令传输时延）
2、BLE节点出来的总线信号转服务化给到MDC"
D6-F22-3-11,星闪车控解闭锁,华为手机、华为手表、物理钥匙车控解闭锁
D6-F22-3-12,星闪车控开关尾门,华为手机、华为手表、物理钥匙车控开关尾门
D6-F22-3-13,星闪车控寻车,华为手机、华为手表、物理钥匙车控寻车
D6-F22-3-14,星闪车控开关车窗,华为手机、华为手表控制开关车窗
D6-F22-3-15,星闪车控开启充电口盖,华为手机、华为手表控制开启充电口盖
D6-F22-3-16,星闪车控一键启动,在搜索到有效星闪连接的范围内，用户可以通过华为手机车控一键启动车辆（用户APP上 点击一键启动按钮，允许2min内启动车辆，此时踩刹车查询钥匙一定会得到一个钥匙有效的结果。（只与蓝牙ECU及APP相关））
D6-F22-3-17,星闪车控泊车,"华为手机、物理钥匙支持通过星闪进行遥控泊车操作
1、APP与BLE节点之间进行临时的加解密操作（保障指令传输时延）
2、BLE节点出来的总线信号转服务化给到MDC"
D6-F22-3-18,星闪车控开启前舱盖,华为手机、华为手表、物理钥匙车控开启前舱盖
D6-F22-3-19,座舱账号联动,手机/手表钥匙支持座舱账号自动登录
D6-F22-4,智能钥匙提醒,IVI相关提示，提醒用户未查询到钥匙、物理钥匙电量低等
D6-F22-4-1,未查询到钥匙提醒,车辆启动未查询到任何钥匙，IVI提示
D6-F22-4-2,物理钥匙低电量提醒,物理钥匙电量低，IVI提示
D6-F22-4-3,无线充电启动提示,无线充电启动时，IVI提示充电槽拿开NFC卡片等
D6-F23-1,用户数据删除,恢复出厂设置主要是发生在车辆所有权变更或使用权变更时，旧车主为了保护个人数据不泄露，删除个人数据
D6-F23-2,恢复出厂设置项,整车开关和设置项恢复到默认出厂状态
D7-F1-1,Ecall-主动紧急救援,支持在紧急状态下，车主主动按键Ecall到服务中心，提供紧急救援
D7-F1-2,Ecall-被动紧急救援,支持在安全气囊摊开状态下，自动Ecall到服务中心，提供紧急救援
D7-F1-3,Bcall-道路救援,能在车辆有问题时提供救援
D7-F2-1,远程控制特性,支持远程控制特性
D7-F2-1-1,行车报告,通过分析车辆用车数据，生成行车报告（例如百公里平均耗电量等），供用户通过APP查看行车状况
D7-F2-1-2,GNSS数据共享,TBOX的GNSS位置信息共享
D7-F3-1,远程控制,用户可通过手机等设备远程控制可以支持远程控制的功能，如远程控制座椅加热、通风、开启空调等
D7-F3-1-1,车锁解/闭锁,远程控制四门车门车锁解/闭锁
D7-F3-1-2,后备箱开启/关闭,远程控制后备箱开启/关闭
D7-F3-1-3,车窗打开/关闭,远程控制车窗打开/关闭
D7-F3-1-4,车窗通风,远程控制车窗通风
D7-F3-1-5,充电口盖开启/关闭,远程控制充电口盖开启/关闭
D7-F3-1-6,空调开启/关闭,远程控制空调开启/关闭
D7-F3-1-7,空调温度设置,远程控制空调温度设置
D7-F3-1-8,空调通风开启/关闭,远程控制前排空调通风开启/关闭
D7-F3-1-10,远程前除霜开启/关闭,远程控制远程前除霜开启/关闭
D7-F3-1-11,方向盘加热,远程控制方向盘加热
D7-F3-1-13,闪灯鸣笛,远程控制车辆闪灯/闪灯鸣笛
D7-F3-1-14,座椅第一排左边加热开/关、加热档位,远程控制座椅第一排左边加热开/关
D7-F3-1-15,座椅第一排右边加热开/关、加热档位,远程控制座椅第一排右边加热开/关
D7-F3-1-20,座椅第一排左边通风开/关、通风档位,远程控制座椅第一排左边通风开/关
D7-F3-1-21,座椅第一排右边通风开/关、通风档位,远程控制座椅第一排右边通风开/关
D7-F3-1-25,前备箱解锁,远程控制前备箱解锁，不支持闭锁，也不支持打开前备箱门
D7-F3-1-26,天窗遮阳帘打开/关闭,远程控制天窗遮阳帘打开/关闭，非侧遮阳帘，非后档遮阳帘
D7-F3-1-30,急速制冷,用户用app可以实现一键制冷
D7-F3-1-31,急速制热,用户用app可以实现一键制热
D7-F3-1-32,交流枪电子锁解闭锁,远程控制交流枪电子锁解闭锁
D7-F3-1-34,远程启动,用户用app可以实现远程启动，提供一次性授权驾驶的能力
D7-F3-2,远程查看,用户可通过手机等设备远程查看车辆状态
D7-F3-2-1,右前/后、左前/后胎的胎压、胎温、漏气查看,远程查看右前/后、左前/后胎胎压、胎温、漏气查看
D7-F3-2-2,档位状态,远程查看档位状态
D7-F3-2-3,车辆行驶状态,远程查看车辆行驶状态
D7-F3-2-4,车门状态查看,远程查看车门状态
D7-F3-2-5,车内温度查看,远程查看车内温度
D7-F3-2-7,总里程查看,远程查看总里程
D7-F3-2-8,里程信息查看,远程查看里程信息
D7-F3-2-9,油量信息,远程查看油量信息
D7-F3-2-10,电量信息查看,远程查看电量信息
D7-F3-2-11,油耗信息查看,远程查看油耗信息
D7-F3-2-12,电耗信息查看,远程查看电耗信息
D7-F3-2-13,续航里程查看,远程查看总电续航里程
D7-F3-2-14,车锁解/闭锁状态查看,远程查看车锁解/闭锁状态
D7-F3-2-15,前备箱解/闭锁状态查看,远程查看前备箱解/闭锁状态
D7-F3-2-16,后备箱开启/关闭状态查看,远程查看后备箱开启/关闭状态
D7-F3-2-17,车窗打开/关闭状态查看,远程查看车窗打开/关闭状态
D7-F3-2-18,车窗通风状态查看,远程查看车窗通风状态
D7-F3-2-19,充电口盖开启/关闭状态查看,远程查看充电口盖开启/关闭状态
D7-F3-2-20,空调开启/关闭状态查看,远程查看空调开启/关闭状态
D7-F3-2-21,空调通风开启/关闭状态查看,远程查看空调通风开启/关闭状态
D7-F3-2-23,远程前除霜开启/关闭状态查看,远程查看前除霜开启/关闭状态
D7-F3-2-24,方向盘加热状态查看,远程查看方向盘加热状态
D7-F3-2-25,后视镜展开/折叠状态查看,远程查看后视镜展开/折叠状态
D7-F3-2-26,远近光灯开启/关闭状态查看,远程查看远近光灯开启/关闭状态
D7-F3-2-27,座椅第一排左边加热开/关、加热档位查看,座椅第一排左边加热开/关、加热档位查看
D7-F3-2-28,座椅第一排右边加热开/关、加热档位查看,座椅第一排右边加热开/关、加热档位查看
D7-F3-2-33,座椅第一排左边通风开/关、通风档位查看,座椅第一排左边通风开/关、通风档位查看
D7-F3-2-34,座椅第一排右边通风开/关、通风档位查看,座椅第一排右边通风开/关、通风档位查看
D7-F3-2-37,车辆位置查看,车辆位置查看
D7-F3-2-38,加油口盖状态查看,加油口盖状态查看
D7-F3-2-39,天幕天遮阳帘状态查看,遮阳帘状态查看
D7-F3-2-40,车辆颜色查看,车辆颜色查看
D7-F3-2-41,后视镜加热状态查看,后视镜加热状态查看
D7-F3-2-43,交流枪电子锁状态查看,交流枪电子锁状态查看
D7-F3-2-44,电子外后视镜加热状态,远程查看电子外后视镜加热状态
D7-F3-3,告警提醒,通过远程控制向用户手机等设备提供车辆告警信息
D7-F3-3-1,车窗未关提醒,车窗未关告警提醒
D7-F3-3-2,防盗状态,防盗状态告警提醒
D7-F3-3-3,车辆未锁,车辆未锁告警提醒
D7-F3-3-4,4门两盖未关提醒,4门两盖未关提醒
D7-F3-3-5,充电口盖未关提醒,充电口盖未关提醒
D7-F3-3-6,动力电池电量低提醒,动力电池电量低
D7-F3-3-7,安全气囊状态提醒,安全气囊状态提醒（碰撞信号的上报）
D7-F3-3-8,下雨关窗执行结果提醒,下雨关窗执行结果提醒
D7-F3-3-9,蓄电池低电量保护,蓄电池低电量保护
D7-F3-3-10,开始充电提醒,开始充电提醒
D7-F3-3-11,结束充电提醒,结束充电提醒
D7-F3-3-12,充电相关提醒,充电相关提醒
D7-F3-3-13,加油口盖未关提醒,加油口盖未关提醒
D7-F3-3-15,增程启动提醒,增程启动提醒
D7-F3-3-16,右前/后、左前/后胎胎压异常提醒,右前/后、左前/后胎胎压异常提醒
D7-F3-4,远程充电,远程查看及控制充电相关功能
D7-F3-4-1,开启/停止充电,远程开启/停止充电
D7-F3-4-2,预约充电计划设置,远程控制预约充电计划设置
